idx,trajectory_id,frames,duration_s,R_max,R_mean,peak_at_s,min_ttc_raw,ticks_ttc_lt2,max_speed,max_accel,max_jerk,max_steer_var,max_lane_offset,max_ttc,max_headway,max_density
1,29__37,296,11.84,0.248917,0.21501,0.0,124.93,0,1.0,0.1388,0.0832,0.0,1.0,0.0,0.1138,0.28
2,29__88,356,14.24,0.188514,0.167185,1.04,216.822,0,1.0,0.0219,0.007,0.0,0.75,0.0,0.0,0.36
3,29__1405,343,13.72,0.293679,0.265633,1.96,206.167,0,1.0,0.0422,0.0092,0.0,0.8767,0.0,0.631,0.24
4,29__1808,297,11.88,0.262549,0.192879,2.12,inf,0,1.0,0.0796,0.0216,0.0,1.0,0.0,0.5736,0.2
5,29__1905,313,12.52,0.217522,0.184891,1.2,328.792,0,1.0,0.095,0.0295,0.0,1.0,0.0,0.0,0.24
6,29__620,365,14.6,0.201375,0.179494,12.92,23.969,0,1.0,0.0194,0.0066,0.0,1.0,0.0,0.0,0.24
7,29__944,382,15.28,0.228315,0.143605,0.12,22.187,0,0.9106,0.1425,0.1266,0.0,1.0,0.0,0.0,0.24
8,29__351,296,11.84,0.189658,0.174798,1.48,52.427,0,1.0,0.0375,0.0112,0.0,0.78,0.0,0.0,0.28
9,29__1339,411,16.44,0.219034,0.174537,0.0,inf,0,0.8557,0.1382,0.0898,0.0002,1.0,0.0,0.0,0.32
10,29__1997,300,12.0,0.219158,0.168016,0.4,inf,0,1.0,0.0701,0.0299,0.0,1.0,0.0,0.3784,0.24
11,29__1138,294,11.76,0.215664,0.157548,8.0,35.637,0,1.0,0.0841,0.0241,0.0,1.0,0.0,0.0947,0.2
12,29__55,341,13.64,0.220811,0.198695,11.4,inf,0,1.0,0.0485,0.0066,0.0,0.99,0.0,0.1366,0.32
13,29__617,285,11.4,0.177875,0.153343,8.4,28.537,0,1.0,0.0304,0.0066,0.0,0.2333,0.0,0.4353,0.2
14,29__1423,260,10.4,0.188543,0.15116,0.0,inf,0,1.0,0.0346,0.0125,0.0,0.8633,0.0,0.0,0.24
15,29__907,385,15.4,0.293461,0.258208,0.6,20.625,0,0.9754,0.0719,0.0296,0.0,0.8767,0.0,0.6724,0.28
16,29__1001,422,16.88,0.220695,0.178871,9.68,inf,0,0.8771,0.0188,0.0092,0.0,0.9167,0.0,0.3264,0.24
17,29__1278,294,11.76,0.294637,0.269671,2.04,16.381,0,1.0,0.0493,0.0265,0.0,0.72,0.0,0.7295,0.28
18,29__2130,294,11.76,0.282455,0.251156,0.0,inf,0,1.0,0.0743,0.0253,0.0,0.8833,0.0,0.531,0.24
19,29__1024,419,16.76,0.207291,0.18561,1.0,865.029,0,0.8836,0.0247,0.0093,0.0,1.0,0.0,0.0,0.24
20,29__1066,304,12.16,0.165864,0.141418,1.04,inf,0,1.0,0.0587,0.0205,0.0,0.51,0.0,0.0,0.32
21,29__1051,363,14.52,0.215487,0.204209,11.92,inf,0,1.0,0.0205,0.0206,0.0,1.0,0.0,0.0324,0.24
22,29__1574,315,12.6,0.327897,0.295705,6.84,inf,0,1.0,0.0877,0.0206,0.0,0.9433,0.0,0.8455,0.48
