idx,trajectory_id,frames,duration_s,R_max,R_mean,peak_at_s,min_ttc_raw,ticks_ttc_lt2,max_speed,max_accel,max_jerk,max_steer_var,max_lane_offset,max_ttc,max_headway,max_density
1,us-101__1288,951,95.1,0.791095,0.298785,49.2,0.604,9,1.0,1.0,1.0,1.0,1.0,0.9861,0.8756,1.0
2,peachtree__392,752,75.2,0.5136,0.266844,2.3,inf,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
3,i-80__578,1618,161.8,0.738068,0.27347,60.8,1.31,4,1.0,1.0,1.0,1.0,1.0,0.892,0.9685,1.0
4,lankershim__240,375,37.5,0.703674,0.386277,8.8,2.339,0,0.3954,1.0,1.0,1.0,1.0,0.7548,0.8194,1.0
5,lankershim__1181,1872,187.2,0.899776,0.390865,128.1,0.35,14,1.0,1.0,1.0,1.0,1.0,1.0,0.9256,1.0
6,us-101__2498,824,82.4,0.455579,0.263568,56.0,3.126,0,0.4941,0.9923,0.8562,1.0,0.6174,0.6499,0.9405,1.0
7,i-80__2350,272,27.2,0.417636,0.266213,18.7,14.252,0,0.9273,1.0,1.0,0.0811,0.7299,0.0,0.448,1.0
8,peachtree__581,968,96.8,0.708215,0.288542,21.8,0.829,6,1.0,1.0,1.0,1.0,1.0,0.9561,0.8334,0.8
9,us-101__1246,1672,167.2,0.809124,0.289376,52.4,0.899,7,1.0,1.0,1.0,1.0,0.9008,0.9468,0.9291,1.0
10,us-101__1218,1964,196.4,0.855924,0.291,79.3,0.348,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,us-101__1514,2543,254.3,0.842239,0.27254,153.9,0.547,13,1.0,1.0,1.0,1.0,0.7372,0.9938,0.9251,1.0
12,lankershim__1065,2218,221.8,0.891851,0.353122,190.8,0.226,20,1.0,1.0,1.0,1.0,1.0,1.0,0.9364,1.0
13,i-80__1988,1379,137.9,0.643617,0.278876,16.7,0.951,8,0.3972,1.0,1.0,1.0,0.4544,0.9399,0.9318,1.0
14,us-101__1272,1732,173.2,0.852389,0.279445,47.0,0.368,41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
