idx,trajectory_id,frames,duration_s,R_max,R_mean,peak_at_s,min_ttc_raw,ticks_ttc_lt2,max_speed,max_accel,max_jerk,max_steer_var,max_lane_offset,max_ttc,max_headway,max_density
1,4ec771b54362b9f9,91,9.1,0.118545,0.097952,3.0,94.344,0,0.023,0.0915,0.1032,0.0,0.2424,0.0,0.1942,1.0
2,aa38408d5a96a2df,91,9.1,0.295944,0.059878,3.8,3.225,0,0.1533,0.1656,0.0673,0.0,0.1647,0.6367,0.7671,0.12
3,52274504cc95b537,91,9.1,0.193017,0.181875,3.7,24.45,0,0.0119,0.0522,0.0495,0.0,0.1938,0.0,0.9004,0.52
4,1822395725337b67,91,9.1,0.130088,0.110704,2.2,16.512,0,0.1155,0.2436,0.2317,0.0001,0.2513,0.0,0.0543,1.0
5,4c83db00f791a29e,91,9.1,0.390008,0.253331,5.6,2.358,0,0.304,0.2467,0.164,0.0021,0.3543,0.7522,0.7663,1.0
6,4ab41134d1841c11,91,9.1,0.124597,0.102751,2.4,1000000.0,0,0.7217,0.2806,0.2628,0.001,0.271,0.0,0.0,0.44
7,a524851f8ee22ef8,91,9.1,0.312307,0.065784,0.8,3.348,0,0.2406,0.2273,0.0991,0.0,0.1639,0.6202,0.7137,0.08
8,f944c4570e647202,91,9.1,0.237946,0.225699,0.7,42.316,0,0.0694,0.0978,0.054,0.0,0.3261,0.0,0.8453,1.0
9,b46bf883038a8cee,91,9.1,0.218933,0.173498,0.8,1000000.0,0,0.4391,0.333,0.1031,0.0001,0.2555,0.0,0.6451,1.0
10,3d2ba1a8671f3348,91,9.1,0.152849,0.092964,8.8,1000000.0,0,0.2293,0.2014,0.2374,0.0003,1.0,0.0,0.0,0.2
11,2200a096978b8099,91,9.1,0.183611,0.177789,0.5,44.493,0,0.0012,0.0174,0.0289,0.0,0.1612,0.0,0.8815,0.48
12,ebf51bbfa4e26c82,91,9.1,0.345415,0.180097,8.9,4.18,0,0.4838,0.2891,0.1827,0.0001,0.176,0.5094,0.7979,0.52
13,bdc1475ad97c84d3,91,9.1,0.276321,0.146983,2.5,4.147,0,0.1726,0.3521,0.1149,0.0001,0.1962,0.5137,0.6673,0.68
14,e2e8980b2fdd2244,91,9.1,0.235332,0.140771,7.0,5.707,0,0.2055,0.201,0.4687,0.0113,1.0,0.3058,0.4266,0.24
15,fab91e45c89b795f,91,9.1,0.159235,0.097944,9.0,11.37,0,0.0001,0.0011,0.0024,0.0,0.0794,0.0,0.7119,0.72
16,4bd767df6fd62d7f,91,9.1,0.400593,0.16883,8.7,2.7,0,0.1582,0.3188,0.4524,0.0338,0.7353,0.7066,0.735,0.64
